candidate_intent,current_customer_message,conversation_context,historical_brand_response
other,@AmazonHelp ご親切にどうもありがとうございます。 買おうと思った商品が出品者の意向でキャンセルになり、同じ商品が出品されたまま１万円値段が上がっていました。不可解です。,"Customer: うええ……Amazonさんで9800円のお買い物してお金払ったのに商品が不良品で出荷できなくなり、アマゾンギフト券で9800円戻されても……ちょっと金額大きいんですけど……。
AmazonHelp: @118163 ご迷惑をお掛けしております。返金のAmazonギフト券は、銀行振込による返金に変更することが可能です。ご希望の場合は、口座情報などをお伺いする必要がございますので、お手数ですが、リンクよりカスタマーサービスにお電話にてお問い合わせください。https://t.co/J6YEizo6qC TN
Customer: @AmazonHelp ご親切にどうもありがとうございます。 買おうと思った商品が出品者の意向でキャンセルになり、同じ商品が出品されたまま１万円値段が上がっていました。不可解です。",@118163 Amazon以外の出品者の販売商品につきましては、各出品者が出品価格を自由に設定できます。しかしながら、当サイトでは、各出品者が商品を適切な価格で出品するべきであると認識しておりますため、貴重なご意見として頂戴いたします。SM
other,@AmazonHelp お答え、どうもありがとうございました。 出品者を確認の上、これからも利用させて頂きます。,"Customer: @AmazonHelp ご親切にどうもありがとうございます。 買おうと思った商品が出品者の意向でキャンセルになり、同じ商品が出品されたまま１万円値段が上がっていました。不可解です。
AmazonHelp: @118163 Amazon以外の出品者の販売商品につきましては、各出品者が出品価格を自由に設定できます。しかしながら、当サイトでは、各出品者が商品を適切な価格で出品するべきであると認識しておりますため、貴重なご意見として頂戴いたします。SM
Customer: @AmazonHelp お答え、どうもありがとうございました。 出品者を確認の上、これからも利用させて頂きます。",@118163 リプライありがとうございます。ご利用方法等でご不明な点がございましたらご遠慮なくご質問ください。今後ともどうぞよろしくお願いいたします。SK
other,@AmazonHelp すごっ、チェック早いですねー😸大分前に買った商品ですし、返品の手続きもめんどいんで今回は良いでーす🙋Amazonさん、どうもでーす😸,"Customer: そういえば、電熱ヒーターもどきをAmazonで買ってたな。寒くなったし試すか。(´ω｀) あったー😹えっ、…入らない😿 いや、でもヒーター部分は使えるかも❕❗❕ …縫い糸がケーブル貫通しとるやないかーい😂 まあ、400円だから…またなんか探そっと😸 皆さんも防寒対策お気をつけください🙋 https://t.co/b7tvSIEeGm
AmazonHelp: @118184 ご迷惑をおかけしております。お届けした商品に問題があった場合、Amazonが発送する商品は返品・交換（可能な商品のみ）にて対応させていただいております。お手数ですが、リンクをご参照の上お手続きください。https://t.co/TYbxdUDknb TN
Customer: @AmazonHelp すごっ、チェック早いですねー😸大分前に買った商品ですし、返品の手続きもめんどいんで今回は良いでーす🙋Amazonさん、どうもでーす😸",@118184 恐れ入ります。これからもhttps://t.co/st4oU5QbhPをどうぞよろしくお願いいたします。TN
other,Amazonでケーブル買って今日届くはずなのにまだ届かないんだが😇,Customer: Amazonでケーブル買って今日届くはずなのにまだ届かないんだが😇,@118191 ご迷惑をおかけしております。状況をお調べした上でご案内させていただきますので、恐れ入りますが、ご注文商品がAmazonが発送する商品の場合は、こちらのリンクよりカスタマーサービスにお問い合わせください。https://t.co/J6YEizo6qC TN
other,@AmazonHelp Es una devolucion,"Customer: Me ha tocado un inepto en @4496 keiere gestionar la recogida de mi pakete de @115821 se monta su ruta y yo como penelope a esperarle! 😤
AmazonHelp: @118229 Hola.¿Cuál es la fecha de entrega de tu pedido? ^JJ
Customer: @AmazonHelp Es una devolucion",@118229 Comprendo. ¿Ya entraste en contacto con el transportista? ^CR
other,@117086 ei mim ajuda,Customer: @117086 ei mim ajuda,"@118230 Olá, Cassiel. Sem compartilhar informações pessoais ou da sua conta, me diga, como posso ajudar você? ^CR"
product_device_issue,"@AmazonHelp enviei meu ebook para o premio Kindle às 22h de hoje. Porém, a ferramenta kdp fala q demora 72h pra publicar. Vou concorrer mesmo assim, certo?","Customer: @117086 ei mim ajuda
AmazonHelp: @118230 Olá, Cassiel. Sem compartilhar informações pessoais ou da sua conta, me diga, como posso ajudar você? ^CR
Customer: @AmazonHelp enviei meu ebook para o premio Kindle às 22h de hoje. Porém, a ferramenta kdp fala q demora 72h pra publicar. Vou concorrer mesmo assim, certo?","@118230 Recomendo entrar em contato diretamente com o SAC da KDP, para eles conferirem o seu caso: https://t.co/iAtVDKIvAN ^CR"
account_access,@AmazonHelp Please do it fast,"Customer: @AmazonHelp Still not got any mail please solve my problem right now.
AmazonHelp: @118231 I'm afraid, we'll not be able to take any action on your account once it is put on hold. Request you to wait for the email. ^HD
Customer: @AmazonHelp Please do it fast","@118231 Further, we wouldn't be able to offer any additional insight/ info in this regard. Appreciate your understanding. (3/3) ^SV"
account_access,@AmazonHelp Please do it fast,"Customer: @AmazonHelp Still not got any mail please solve my problem right now.
AmazonHelp: @118231 I'm afraid, we'll not be able to take any action on your account once it is put on hold. Request you to wait for the email. ^HD
Customer: @AmazonHelp Please do it fast","@118231 As this is account related, our specialist team are the best ones to assist you. (2/3) ^SV"
account_access,@AmazonHelp Please do it fast,"Customer: @AmazonHelp Still not got any mail please solve my problem right now.
AmazonHelp: @118231 I'm afraid, we'll not be able to take any action on your account once it is put on hold. Request you to wait for the email. ^HD
Customer: @AmazonHelp Please do it fast","@118231 I get your concern, Hussain. As requested, please reply to the correspondence sent by our specialist team. (1/3) ^SV"
customer_service_escalation,@AmazonHelp Done that. Was told I would definitely have it by 9pm yesterday &amp; it's still not been delivered!!!!,"Customer: Bit of a piss take really now @115830 - was promised it by 9pm today. https://t.co/QKJ9a5DIki
AmazonHelp: @118232 Oh no! Let's talk about this in real time. Please call or chat with us here: https://t.co/wMcUf6lHpn ^BA
Customer: @AmazonHelp Done that. Was told I would definitely have it by 9pm yesterday &amp; it's still not been delivered!!!!","@118232 Just to confirm, what's the current tracking information listed for your order here: https://t.co/aaDyEz1VgE ^HC"
other,"@AmazonHelp Not in the mailbox, not on the porch, not in my house, not at the neighbors. This was a Prime order, late/lost again.","Customer: @amazonhelp My order 113-8951188-2020217 says ""Left in mailroom"" but my house doesn't have a mailroom and I've been home all day.
AmazonHelp: @118235 Oh no! Have you checked the mailbox? These steps may help locate the order: https://t.co/7jZ5OuoXoK. Keep us posted! ^BN
Customer: @AmazonHelp Not in the mailbox, not on the porch, not in my house, not at the neighbors. This was a Prime order, late/lost again.",@118235 I'm sorry those steps didn't help! Who was the carrier for this order? You can check here: https://t.co/Y5jpI9gRhE ^BL
other,アマゾンからショートメールで 有料サイト使用による未納料金が発生してる 的な詐欺ショートメール来た！アマゾン使ってない！！！ｗｗｗ,Customer: アマゾンからショートメールで 有料サイト使用による未納料金が発生してる 的な詐欺ショートメール来た！アマゾン使ってない！！！ｗｗｗ,@118236 (*´-`).｡oO(ご存知かと思いますが、当サイトからのご請求ではございませんので、ご連絡されませんように。。。) また、携帯大手3社をご利用の場合には、迷惑メール対策として、申告窓口を設置しています。今後受信しないためにも、各窓口へご申告ください。TY
other,@AmazonHelp お忙しい中、丁寧にありがとうございます。 申告窓口へ報告します。(｀_´)ゞ,"Customer: アマゾンからショートメールで 有料サイト使用による未納料金が発生してる 的な詐欺ショートメール来た！アマゾン使ってない！！！ｗｗｗ
AmazonHelp: @118236 (*´-`).｡oO(ご存知かと思いますが、当サイトからのご請求ではございませんので、ご連絡されませんように。。。) また、携帯大手3社をご利用の場合には、迷惑メール対策として、申告窓口を設置しています。今後受信しないためにも、各窓口へご申告ください。TY
Customer: @AmazonHelp お忙しい中、丁寧にありがとうございます。 申告窓口へ報告します。(｀_´)ゞ",@118236 お手数おかけしますが、よろしくお願いします。 最近、Amazonを騙るフィッシングが増えているようでございますので、ご注意くださいませ(*´︶`*) TY
other,@AmazonHelp いえいえ、Amazonさんこそとばっちりの迷惑かけられてお疲れ様ですm(__)m 詐欺軍団はあの手この手で迷惑極まりないですねヽ(`Д´)ﾉﾌﾟﾝﾌﾟﾝ,"Customer: @AmazonHelp お忙しい中、丁寧にありがとうございます。 申告窓口へ報告します。(｀_´)ゞ
AmazonHelp: @118236 お手数おかけしますが、よろしくお願いします。 最近、Amazonを騙るフィッシングが増えているようでございますので、ご注意くださいませ(*´︶`*) TY
Customer: @AmazonHelp いえいえ、Amazonさんこそとばっちりの迷惑かけられてお疲れ様ですm(__)m 詐欺軍団はあの手この手で迷惑極まりないですねヽ(`Д´)ﾉﾌﾟﾝﾌﾟﾝ",@118236 あたたかいお言葉、ありがとうございます(*ﾉωﾉ) 色々な種類のフィッシングなどがあるようなので、ご注意いただき、何かご不明な点があれば、ご遠慮なくお声がけください！ 今後も、Amazonをよろしくお願いします(o*。_。)oペコッ TY
other,やばー！ Amazonプライム自動更新されてしまった💧,Customer: やばー！ Amazonプライム自動更新されてしまった💧,@118237 Amazonプライムが不要な場合には、アカウントサービスから解除していただけます。更新後特典利用が無ければ、返金を承る事も可能です。詳しくはこちらのヘルプページをご覧ください。 https://t.co/9tQT1Jh8Tw TY
other,@AmazonHelp Lol that's not my real name. But basically yeah they won't just leave it at my front door. Tomorrow's the final attempt.,"Customer: @AmazonHelp how do I inform your delivery drivers to just leave my package at my front door?
AmazonHelp: @118238 Hey, Hugh! Are you having trouble receiving a recent order? ^LA
Customer: @AmazonHelp Lol that's not my real name. But basically yeah they won't just leave it at my front door. Tomorrow's the final attempt.","@118238 Hi, not Hugh:) Who is the carrier for this delivery? You can find this information here: https://t.co/Y5jpI9gRhE ^LM"
other,アマゾンで注文した小説、ご注文は後、1週間以内にお届けという表記だったけど、二回も配達日が延期になりもう1か月になるのに届かない。 アマゾンで注文したプンタブ、ご注文受けて3日で発送という表記なのにコンビニ払いを済ませたとたん、配送予定日が50日後に変更の連絡。詐欺かな？,Customer: アマゾンで注文した小説、ご注文は後、1週間以内にお届けという表記だったけど、二回も配達日が延期になりもう1か月になるのに届かない。 アマゾンで注文したプンタブ、ご注文受けて3日で発送という表記なのにコンビニ払いを済ませたとたん、配送予定日が50日後に変更の連絡。詐欺かな？,@118239 ご心配をおかけしております。Amazonです。 Twitter上ではご注文の詳細を確認させていただくことができませんので、確認ご希望の場合には、下記URLよりカスタマーサービスにご連絡ください。https://t.co/bwBU0NvYIn TY
other,@AmazonHelp AMZL US,Customer: @AmazonHelp AMZL US,@117955 Please provide your details here: https://t.co/zUIZ61Nac2 and my team will escalate to Amazon Logistics. ^EZ
other,@AmazonHelp My Halloween costume is a day late. Can you help?,Customer: @AmazonHelp My Halloween costume is a day late. Can you help?,"@118354 I'm so sorry we've let you down. Please reach us here: https://t.co/hApLpMlfHN, so we can explore options with you. ^LL"
refund_return,Seriously @115821 what is up with ordering things and it being open? You guys shipping returned items. 2nd day in a row this happens :SMH: https://t.co/gMyT1z9Zu1,Customer: Seriously @115821 what is up with ordering things and it being open? You guys shipping returned items. 2nd day in a row this happens :SMH: https://t.co/gMyT1z9Zu1,@118355 We do not want this to happen and are eager to help. Reach out to us for more assistance here: https://t.co/hApLpMlfHN ^LM
shipping_speed,@AmazonHelp what the hell is going on?! Today's last day to deliver and still not shipped!! Should I pledge that I won't ever order from u?!,Customer: @AmazonHelp what the hell is going on?! Today's last day to deliver and still not shipped!! Should I pledge that I won't ever order from u?!,"@118356 I understand your concern, Nihal. Could you confirm if you've report this to our team using the link provided earlier? ^HD"
other,@AmazonHelp It's point less to actually fill this form.Since you always give me those replies with I'll personally follow up and stuff..,"Customer: @AmazonHelp Many times..Always got them saying well deliver it by deadline...I hate your service now
AmazonHelp: @118356 Sorry about the delay with the order. Please share your details here: https://t.co/GIJyeYqKE0 and we'll check this. ^KA
Customer: @AmazonHelp It's point less to actually fill this form.Since you always give me those replies with I'll personally follow up and stuff..",@118356 details through the link provided above so that we can look into the issue. 2/2 ^SH
other,@AmazonHelp It's point less to actually fill this form.Since you always give me those replies with I'll personally follow up and stuff..,"Customer: @AmazonHelp Many times..Always got them saying well deliver it by deadline...I hate your service now
AmazonHelp: @118356 Sorry about the delay with the order. Please share your details here: https://t.co/GIJyeYqKE0 and we'll check this. ^KA
Customer: @AmazonHelp It's point less to actually fill this form.Since you always give me those replies with I'll personally follow up and stuff..",@118356 Twitter is a social media platform we'll not be able to access any of your account/order details. Please share your 1/2 ^SH
account_access,@AmazonHelp I already emailed y’all.,"Customer: @115821 WTF MAN. YALL LET SOME RANDO CHANGE MY EMAIL TO MY ACCOUNT AND NOW I CANT LOG IN. FIX IT!!!!!
AmazonHelp: @118498 I'm so sorry about that, Alexis. When you can, please reach us here so we can better assist: https://t.co/hApLpMlfHN ^BL
Customer: @AmazonHelp I already emailed y’all.","@118498 I'm sorry about the link. For a faster response, contact us by phone here: https://t.co/jzvkhdlrK5 without signing in. ^BE"
customer_service_escalation,@AmazonHelp Is that a 24 hr line,"Customer: @AmazonHelp I already emailed y’all.
AmazonHelp: @118498 I'm sorry about the link. For a faster response, contact us by phone here: https://t.co/jzvkhdlrK5 without signing in. ^BE
Customer: @AmazonHelp Is that a 24 hr line",@118498 Yes. Our main customer service line is open 24 hours a day. ^LJ
product_device_issue,Amazon Kindle の「スライダー」が「マイライブラリー」になったの、本当に不便。「スライダー」は「スライダーから削除」を使うことで、「今、読んでいる(or次に読みたい)本」の枠として便利だった。「マイライブラリー」はどんな思想の枠ですか？ @118500,Customer: Amazon Kindle の「スライダー」が「マイライブラリー」になったの、本当に不便。「スライダー」は「スライダーから削除」を使うことで、「今、読んでいる(or次に読みたい)本」の枠として便利だった。「マイライブラリー」はどんな思想の枠ですか？ @118500,@118499 ご不便をおかけしております。アップデートにより仕様が変更される場合がありますが、変更の背景等については詳細をお伝えすることができませんことをご了承ください。ご指摘いただいた点は担当部署に伝えさせていただき、今後もサービスや機能の改善に努めて参ります。 YM
product_device_issue,@116313 FireTVstick購入し接続完了、画面の切り替えも問題ないのですが、音声が切り替わらないです。どうしたらいいのでしょうか？(＞＜),"Customer: 「#72時間ホンネテレビ」をFire TV Stickで観よう。11/2 21時からAbemaTVで生放送。Fire TV Stickなら、大画面で楽しめます。Prime Nowにて、500円OFFキャンペーン実施中(エリア限定)。https://t.co/B8u1j1MVBu https://t.co/guqfbltFj1
Customer: @116313 FireTVstick購入し接続完了、画面の切り替えも問題ないのですが、音声が切り替わらないです。どうしたらいいのでしょうか？(＞＜)",@118502 Fire TV Stickのご注文ありがとうございます。 音声が切り替わらないとのことなので、設定等を確認の上ご案内させていただきます。 よろしければ、下記URLよりご連絡ください。https://t.co/bwBU0NvYIn TY
shipping_speed,@115821 thanks for such thoughtful packing. Must be why it takes so long to ship #whoneedspeanuts #oversized https://t.co/c3quxqnvqi,Customer: @115821 thanks for such thoughtful packing. Must be why it takes so long to ship #whoneedspeanuts #oversized https://t.co/c3quxqnvqi,@118503 That does seem excessive. Help us improve by leaving order specific packaging feedback here: https://t.co/TH7UAFZey5. ^EZ
other,"@AmazonHelp Uff, I am continuously trying to tell you that I have already replied and a 24 hr tat for receiving call was given which​ U have failed on","Customer: @AmazonHelp 24 hrs tat was given on written mail on 29th Oct to receive a call but no response since last 60 hrs.Hence we say quality of Amazon has gone
AmazonHelp: @118505 If you had replied to the email, you must've received a correspondence from us, Darshan. Please check. ^HD
Customer: @AmazonHelp Uff, I am continuously trying to tell you that I have already replied and a 24 hr tat for receiving call was given which​ U have failed on",@118505 If you've already replied to the email sent by our team. I'm sure our team will reach out to you soon with an update. ^VM
other,"@AmazonHelp I have replied Sir, try and understand the gratitude of this event. You are exposing yourself in bad light","Customer: @AmazonHelp I have checked all my mails and had received your last mail on 29th stating you will receive an update in next 24 hrs. No revert received
AmazonHelp: @118505 I do understand, however, please revert to the same email so that we can get this sorted. ^HN
Customer: @AmazonHelp I have replied Sir, try and understand the gratitude of this event. You are exposing yourself in bad light","@118505 Apologies, thank you for replying to the email. We'll get back on this soon. Appreciate your patience. ^BS"
delivery_not_received,"@AmazonHelp I have replied to it many and still have not received any response, sending you a legal notification for closing this fraud business","Customer: @AmazonHelp Nobody has called till now, why are you sending fake replies
AmazonHelp: @118505 Sorry for the stretch. Please reply to the email you've received from our Social media team and we'll get back. ^KA
Customer: @AmazonHelp I have replied to it many and still have not received any response, sending you a legal notification for closing this fraud business",@118505 Sorry for the trouble you've had. Kindly reply to the email you've received from our team &amp; we'll look into this further.^MM
other,@AmazonHelp Please reply with necessary resolution...,"Customer: @118506 @AmazonHelp Amazon has lost its credibility by buying cheap products from other portals like ebay and selling over their platform. Really cheap
AmazonHelp: @118505 you with an update at the earliest. (2/2)^AU
Customer: @AmazonHelp Please reply with necessary resolution...",@118505 email ID. Kindly check it here: https://t.co/8DAc10S7ww. 2/2 ^RS
other,@AmazonHelp Message from Rahul from Social Media team. Upon checking your order I see that issue is being handled by Executive Customer Relations team.,"Customer: @AmazonHelp Can you please update over this quickly
AmazonHelp: @118505 We've sent a correspondence to your registered email address, request you to check the same. ^SH
Customer: @AmazonHelp Message from Rahul from Social Media team. Upon checking your order I see that issue is being handled by Executive Customer Relations team.","@118505 As requested, please respond on the requested email and our specialist team will reach out to you. ^HK"
other,@AmazonHelp Can you please update over this quickly,"Customer: @115850 Please revert whether you would be able to recalculate the gesture amount, revert at the earliest to settle this out of court for all mishap
AmazonHelp: @118505 We're working on your concern. We'll reach out to you soon and update. ^RI
Customer: @AmazonHelp Can you please update over this quickly","@118505 We've sent a correspondence to your registered email address, request you to check the same. ^SH"
refund_return,"@115850 Please revert whether you would be able to recalculate the gesture amount, revert at the earliest to settle this out of court for all mishap","Customer: Changed your mind about something you bought? Have no fear. Replace products with ease on Amazon. https://t.co/mESIpKkCpK
Customer: @115850 Please do not purchase anything from Amazon ad we are filling case in consumer court for such unfair practices. Amazon.in please respond
Customer: @115850 Please revert whether you would be able to recalculate the gesture amount, revert at the earliest to settle this out of court for all mishap",@118505 We're working on your concern. We'll reach out to you soon and update. ^RI
customer_service_escalation,@AmazonHelp I have. And I have spoken to customer care again on chat.,"Customer: @AmazonHelp Thanks. I wish the same degree of concern were shown about my complaint though.
AmazonHelp: @118701 Could you please confirm if you have replied to our email? ^MK
Customer: @AmazonHelp I have. And I have spoken to customer care again on chat.","@118701 If you've replied to the email sent by us, we'll check and get back to you with an update shortly. ^NR"
customer_service_escalation,@AmazonHelp I had replied almost as soon as you posted about the email and sent it. I want to know what action has been taken on my complaint.,"Customer: @AmazonHelp I have. And I have spoken to customer care again on chat.
AmazonHelp: @118701 If you've replied to the email sent by us, we'll check and get back to you with an update shortly. ^NR
Customer: @AmazonHelp I had replied almost as soon as you posted about the email and sent it. I want to know what action has been taken on my complaint.","@118701 Sorry to know about the delivery issue. As you've confirmed sharing your details, you should've received an email from (1/2)^KA"
customer_service_escalation,@AmazonHelp I had replied almost as soon as you posted about the email and sent it. I want to know what action has been taken on my complaint.,"Customer: @AmazonHelp I have. And I have spoken to customer care again on chat.
AmazonHelp: @118701 If you've replied to the email sent by us, we'll check and get back to you with an update shortly. ^NR
Customer: @AmazonHelp I had replied almost as soon as you posted about the email and sent it. I want to know what action has been taken on my complaint.","@118701 our team. Please check and reply, we'll get back. You may check the email here: https://t.co/NTkrxpsbHJ (2/2) ^KA"
customer_service_escalation,@AmazonHelp the last email i got was the transcript of the last chat that i requested.. you want me to reply to that??,"Customer: @AmazonHelp 6 different emails about the same order and none actually resolve the issue. You should be quite ashamed.
AmazonHelp: @118701 Please reply to the email received from our team. We will check and connect with you accordingly. ^RW
Customer: @AmazonHelp the last email i got was the transcript of the last chat that i requested.. you want me to reply to that??",@118701 Sorry about the order cancellation. Please reply to the email you've received from our Social media team and we'll get back. ^KA
other,@AmazonHelp Sorry to have to say this. But you all are idiots. Once more email completely ignoring my query and giving template reply,"Customer: @AmazonHelp Submitted, for the third time for the same issue.
AmazonHelp: @118701 Thanks for submitting the details. We've received your details and we'll reach out to you soon. ^GK
Customer: @AmazonHelp Sorry to have to say this. But you all are idiots. Once more email completely ignoring my query and giving template reply",@118701 That's unusual. Could you please revert to the email with further queries on this? I'll like to have a look into it. ^AB
customer_service_escalation,@AmazonHelp Can someone please call me. I have responded to multiple emails and surveys now without my question being addressed. This is very annoying.,"Customer: @AmazonHelp Sorry to have to say this. But you all are idiots. Once more email completely ignoring my query and giving template reply
AmazonHelp: @118701 That's unusual. Could you please revert to the email with further queries on this? I'll like to have a look into it. ^AB
Customer: @AmazonHelp Can someone please call me. I have responded to multiple emails and surveys now without my question being addressed. This is very annoying.",@118701 We're unable to arrange a callback for you over Twitter. Please make a request by responding to the email and we'll oblige. ^AB
other,@AmazonHelp Thanks. I wish the same degree of concern were shown about my complaint though.,"Customer: @AmazonHelp May i just add that realising NO ACTION HAS BEEN TAKEN on my complaint is not much fun. Worst customer care EVER ! https://t.co/bHOHPNnZFA
AmazonHelp: @118701 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^SV
Customer: @AmazonHelp Thanks. I wish the same degree of concern were shown about my complaint though.",@118701 Could you please confirm if you have replied to our email? ^MK
customer_service_escalation,@AmazonHelp May i just add that realising NO ACTION HAS BEEN TAKEN on my complaint is not much fun. Worst customer care EVER ! https://t.co/bHOHPNnZFA,"Customer: @AmazonHelp I have asked the customer care exec on phone to cancel the order. Don't want to waste any more of my time on this.
AmazonHelp: @118701 I'm sorry about the trouble Manak. Kindly reply to the email sent by our team for further assistance. ^GD
Customer: @AmazonHelp May i just add that realising NO ACTION HAS BEEN TAKEN on my complaint is not much fun. Worst customer care EVER ! https://t.co/bHOHPNnZFA","@118701 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^SV"
shipping_speed,@AmazonHelp I have asked the customer care exec on phone to cancel the order. Don't want to waste any more of my time on this.,"Customer: @AmazonHelp I am now cancelling this order because your delivery service just sucks despite prime membership. Switching to @118702 for future.
AmazonHelp: @118701 you've received from our team and we will get back to you with the latest update on your issue. (2/2)^SQ
Customer: @AmazonHelp I have asked the customer care exec on phone to cancel the order. Don't want to waste any more of my time on this.",@118701 I'm sorry about the trouble Manak. Kindly reply to the email sent by our team for further assistance. ^GD
shipping_speed,@AmazonHelp I am now cancelling this order because your delivery service just sucks despite prime membership. Switching to @118702 for future.,"Customer: @AmazonHelp This has been the most frustrating and useless customer service ever.
AmazonHelp: @118701 Sorry about the bad experience, Manak. I'll be sure to pass along your feedback internally. ^MS
Customer: @AmazonHelp I am now cancelling this order because your delivery service just sucks despite prime membership. Switching to @118702 for future.",@118701 you've received from our team and we will get back to you with the latest update on your issue. (2/2)^SQ
customer_service_escalation,@AmazonHelp This has been the most frustrating and useless customer service ever.,"Customer: @AmazonHelp After getting a confirmation that it will be delivered post 7 pm, i have got an email at 1:30 in the afternoon that i was not available !
AmazonHelp: @118701 We're following up on this. We'll check this and update you. ^SG
Customer: @AmazonHelp This has been the most frustrating and useless customer service ever.","@118701 Sorry about the bad experience, Manak. I'll be sure to pass along your feedback internally. ^MS"
other,"@AmazonHelp After getting a confirmation that it will be delivered post 7 pm, i have got an email at 1:30 in the afternoon that i was not available !","AmazonHelp: @118701 We've sent the correspondence to your registered email ID. Kindly check it here: https://t.co/8DAc10S7ww ^GK
Customer: @AmazonHelp After getting a confirmation that it will be delivered post 7 pm, i have got an email at 1:30 in the afternoon that i was not available !",@118701 We're following up on this. We'll check this and update you. ^SG
delivery_not_received,@115821 why is your AMZL US shipping service not show more updates online? I had another package with this not delivered.,Customer: @115821 why is your AMZL US shipping service not show more updates online? I had another package with this not delivered.,@118704 Are you currently waiting on the delivery of a delayed order? ^QJ
other,Meu bebê chegou. Obrigado @117086 💙 https://t.co/I3fqrg94Fb,Customer: Meu bebê chegou. Obrigado @117086 💙 https://t.co/I3fqrg94Fb,"@118707 Que notícia boa, Luiz! Fiquei curioso... O que contém esse pacote? 🤔 ^CR https://t.co/DtVI16kHN1"
customer_service_escalation,"@AmazonHelp yes spoke w/ customer service, still canceling my prime though since it does literally nothing apparently","Customer: y'all gotta get rid of AMZL and try again @115821
AmazonHelp: @118708 I'm very sorry to hear that, J! Have you had trouble with a recent order/delivery? ^HM
Customer: @AmazonHelp yes spoke w/ customer service, still canceling my prime though since it does literally nothing apparently","@118708 We'd like to take a closer look. When you can, please provide us some more information here: https://t.co/ApyxSZALFH ^TN"
delivery_not_received,"@115821 WTF! Called them again and again, the call was dropped after 5 seconds of talking to someone. This is my 4th call for product NOT delivered","Customer: .@115821 support is sure going down hill. 6 hours later and still no call and I'm a Prime member
Customer: @115821 WTF! Called them again and again, the call was dropped after 5 seconds of talking to someone. This is my 4th call for product NOT delivered",@118709 Was any information provided to you in the phone conversation? Who was the carrier as listed here: https://t.co/Y5jpI9gRhE ^CH
refund_return,"Hi @AmazonHelp, I’ve purchased something via your app and it’s broken! How can I get it replaced?","Customer: Hi @AmazonHelp, I’ve purchased something via your app and it’s broken! How can I get it replaced?","@118710 Hi, Reece! I'm sorry about the broken item. You can check into options here: https://t.co/Ueduyt85xq ^BL"
other,Amazonの使い方が難しく感じます わけわかめ ちゃんと頼めてんのかね,Customer: Amazonの使い方が難しく感じます わけわかめ ちゃんと頼めてんのかね,@118711 おはようございます。Amazonです。 ご注文確定済の場合には、注文履歴にて確認できますので、下記URLにてご確認ください。https://t.co/5Uadfd0Km8 なお、ご不明な点がありましたら、ご遠慮なくお知らせください(#^.^#)TY
other,@115821 any idea when this order will arrive? I have a sassy Brit since grocery stopped carrying his @118826 #teatime #isthisatrick https://t.co/wb8uMOsjcW,Customer: @115821 any idea when this order will arrive? I have a sassy Brit since grocery stopped carrying his @118826 #teatime #isthisatrick https://t.co/wb8uMOsjcW,@118825 I'm sorry there was a delay! Let us know if your package doesn't arrive by November 2. Please keep us posted on its delivery. ^TN
other,@AmazonHelp https://t.co/saX0kAZVCW!,"Customer: @115821 it’s not nice to upset a kid (my daughter) on Halloween waitin’ for her dress it was prime and extra paid and you guys failed her !
AmazonHelp: @118829 I'm sorry for the delay in delivery. Could you let us know from which website did you make the purchase? ^RW
Customer: @AmazonHelp https://t.co/saX0kAZVCW!",@118829 Can you confirm the delivery date provided in your order confirmation email? It can be viewed here: https://t.co/1aMUiU8Rcg ^LA
other,おいいいいい！発売する三ヶ月前から予約注文で受け付けた品物くらい発売日にきっちり届けろよAmazonさんw だからkonozamaとか言われるんだよw,Customer: おいいいいい！発売する三ヶ月前から予約注文で受け付けた品物くらい発売日にきっちり届けろよAmazonさんw だからkonozamaとか言われるんだよw,@118831 恐れ入りますが、予約商品でも発売日のお届けを確約しておりません。https://t.co/vwDxlbpOLC なお、発売日/発売日前日にお届けする場合、一定の条件を満たしている注文のみです。https://t.co/f3TKbgOOgv TY
other,@AmazonHelp done.,"Customer: @AmazonHelp all emails already shared with earlier tweet. https://t.co/2sVFZ4iG9Q
AmazonHelp: @118918 Kindly share your details in the link given earlier and we'll be sure to help you in getting this issue resolved. ^ZH
Customer: @AmazonHelp done.","@118918 Thank you for letting us know, we'll get back to you soon with an update. ^BS"
other,@AmazonHelp yeah and i will get it after i murder service center owner. I would rather throw this product in dumpster and let wll india know abt u cheat,"Customer: @AmazonHelp so basically you are stealing money from small customers. @115851 count your money, its growing. THIEVES.
AmazonHelp: @118918 Apologies for the inconvenience with policy constraint. We'll be able to assist you once service denial letter is received.^GS
Customer: @AmazonHelp yeah and i will get it after i murder service center owner. I would rather throw this product in dumpster and let wll india know abt u cheat",@118918 Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll contact you with an update on this. ^GS
product_device_issue,"@AmazonHelp why are you removimg @79087 from your tweets? I have official email from @79087 they dont care , they did not sell this product.","Customer: @AmazonHelp I have visited multiple times. why would a sc change uts policy to meet ur unreasonable demands? this issue is ongoing since 1.5 months.
AmazonHelp: @118918 If the manufacturer refuses to honor warranty on a device, you shall receive a service denial letter for the same. ^HK
Customer: @AmazonHelp why are you removimg @79087 from your tweets? I have official email from @79087 they dont care , they did not sell this product.",@118918 I get your concern.We wouldn't be able to work on the issue until we receive a service denial letter from the manufacturer.^NS
