candidate_intent,customer_message,historical_response,conversation_context
delivery_delay,"@115850 I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u no of tyms.",@117088 Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. 2/2 ^HD,"Customer: @115850 I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u no of tyms."
delivery_delay,"@115850 I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u no of tyms.",@117088 Apologies for this unpleasant experience. I'd like to take a closer look. 1/2 ^HD,"Customer: @115850 I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u no of tyms."
delivery_delay,"@115830 when you can't get my Prime order to me on time, what happens? I needed it on time! It's a gift! Your courier not up to the job?","@117494 We're unable to view your account, but we'd like to help in real-time, via phone or chat here: https://t.co/JzP7hlA23B ^NN","Customer: @115830 when you can't get my Prime order to me on time, what happens? I needed it on time! It's a gift! Your courier not up to the job?"
delivery_delay,@AmazonHelp I have an order that was supposed to be here on the 25th which has not arrived yet.,"@117948 What does the current tracking indicate? Also, who does the tracking indicate as carrier?: https://t.co/PyACxvY8Qo ^VB","Customer: How does amazon have late shipping? Multi billion dollar company @115821
AmazonHelp: @117948 I'm sorry we let you down! Do you have a current order that has passed the delivery date? ^DD
Customer: @AmazonHelp I have an order that was supposed to be here on the 25th which has not arrived yet."
delivery_delay,"@AmazonHelp My apologies, it says now that the delivery date is October 31st. Still hasn't come though.",@117948 Hi Mark! Deliveries will run up until 21:00. Let us know what happens. Chuck H,"Customer: @AmazonHelp I have an order that was supposed to be here on the 25th which has not arrived yet.
AmazonHelp: @117948 What does the current tracking indicate? Also, who does the tracking indicate as carrier?: https://t.co/PyACxvY8Qo ^VB
Customer: @AmazonHelp My apologies, it says now that the delivery date is October 31st. Still hasn't come though."
payment_billing,"@115821 being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠",@116083 Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: https://t.co/JzP7hlA23B ^KP,"Customer: @115821 being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠"
payment_billing,@AmazonHelp where can I chat with a support member for a false charge,@116084 I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: https://t.co/hApLpMlfHN ^BL,Customer: @AmazonHelp where can I chat with a support member for a false charge
payment_billing,Regretting having bought @115821 Kindle Fire Kids Edition. Every day it has some random problem I have to fix. Now saying theres no SD card.,@118087 Please try to remove and reinsert the SD card following the steps here: https://t.co/ZtaYsyA9rO. Let us know how this helps! ^MB,"Customer: Pumpkin spice is here so it must be autumn! We’ve picked 3 fall cookbooks to whet your appetite: https://t.co/CadWTnRHy0 https://t.co/J1B61Odt0N
Customer: Regretting having bought @115821 Kindle Fire Kids Edition. Every day it has some random problem I have to fix. Now saying theres no SD card."
payment_billing,@AmazonHelp when its removed the system says it's inserted but unrecognized. When it's inserted the tablet behaves as though there's no card,@118087 Check the SD Card slot and make sure there is no particulate matter which may be effecting how the card is being detected. ^CH,"Customer: Regretting having bought @115821 Kindle Fire Kids Edition. Every day it has some random problem I have to fix. Now saying theres no SD card.
AmazonHelp: @118087 Please try to remove and reinsert the SD card following the steps here: https://t.co/ZtaYsyA9rO. Let us know how this helps! ^MB
Customer: @AmazonHelp when its removed the system says it's inserted but unrecognized. When it's inserted the tablet behaves as though there's no card"
payment_billing,"@AmazonHelp it was doing this a few days ago and a factory reset dixednit, for two days. A hard reboot did not resolve.",@118087 We'd like to try to solve this problem for you! Please contact us here so we can take a closer look: https://t.co/hApLpMlfHN ^CN,"Customer: Regretting having bought @115821 Kindle Fire Kids Edition. Every day it has some random problem I have to fix. Now saying theres no SD card.
AmazonHelp: @118087 Please try to remove and reinsert the SD card following the steps here: https://t.co/ZtaYsyA9rO. Let us know how this helps! ^MB
Customer: @AmazonHelp it was doing this a few days ago and a factory reset dixednit, for two days. A hard reboot did not resolve."
payment_billing,"@AmazonHelp it was doing this a few days ago and a factory reset fixed it, for two days. A hard reboot with card in or out does not resolve.","@118087 That's odd! We'd like to help further with this. When you can, please reach out to us here: https://t.co/hApLpMlfHN ^HM","Customer: Regretting having bought @115821 Kindle Fire Kids Edition. Every day it has some random problem I have to fix. Now saying theres no SD card.
AmazonHelp: @118087 Please try to remove and reinsert the SD card following the steps here: https://t.co/ZtaYsyA9rO. Let us know how this helps! ^MB
Customer: @AmazonHelp it was doing this a few days ago and a factory reset fixed it, for two days. A hard reboot with card in or out does not resolve."
payment_billing,@AmazonHelp when do you guys charge for the Xbox one X I preordered? It ships the 6th.,@118828 Thanks for reaching out to us! You will be charged for your order once it ships out. ^FJ,Customer: @AmazonHelp when do you guys charge for the Xbox one X I preordered? It ships the 6th.
payment_billing,@AmazonHelp is there a way to know if the Amazon gift cards I send are being used?,@118920 You would only be able to confirm gift card balances on the account it is redeemed on. ^JP,Customer: @AmazonHelp is there a way to know if the Amazon gift cards I send are being used?
payment_billing,@AmazonHelp Did you guys do anything?,"@119903 (2/2) For account security reasons, we recommend that you delete any account sensitive information from Twitter. Thank you. ^SE","Customer: @AmazonHelp @7108 Found error on website, one click on $4.85 makes it $285 on card select screen https://t.co/zrzUwV6Cl1
AmazonHelp: @119903 to the payment page that you have in your 2nd screenshot? We want to help in the best way possible, so pls let us know! ^KN 2/2
Customer: @AmazonHelp Did you guys do anything?"
payment_billing,"@AmazonHelp @7108 Found error on website, one click on $4.85 makes it $285 on card select screen https://t.co/zrzUwV6Cl1","@119903 to the payment page that you have in your 2nd screenshot? We want to help in the best way possible, so pls let us know! ^KN 2/2","Customer: @AmazonHelp @7108 Found error on website, one click on $4.85 makes it $285 on card select screen https://t.co/zrzUwV6Cl1"
delivery_not_received,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,"Customer: Way to drop the ball on customer service @115821 so pissed right now!
AmazonHelp: @115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN
Customer: @AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day"
delivery_not_received,@AmazonHelp but I can’t find the options to cancel or re-order?,@116081 I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: https://t.co/hApLpMlfHN ^AG,"Customer: @115821 my order hasn’t arrived (it was due 14th October). Can you help?
AmazonHelp: @116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ
Customer: @AmazonHelp but I can’t find the options to cancel or re-order?"
delivery_not_received,@AmazonHelp Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.,@116314 We're unable to view any account information via Twitter. What's the current tracking shown here: https://t.co/aaDyEz1VgE? ^AG,"Customer: @AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks
AmazonHelp: @116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG
Customer: @AmazonHelp Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since."
delivery_not_received,"@AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",@116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG,"Customer: @AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks"
delivery_not_received,@AmazonHelp Well ok but @116324 said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it,@116323 We're definitely here to help! Please reach out to us by phone here: https://t.co/JzP7hlA23B ^SE,"Customer: @116324 not dlvd after 1 wk. U lied 2 @AmazonHelp saying left in safe place on Fri. Yesterday u said wld be dlvd 24-48hrs. Sort this now!
AmazonHelp: @116323 I'm sorry your order hasn't arrived yet! Please let us know if you haven't received it within 48 hours. ^EB
Customer: @AmazonHelp Well ok but @116324 said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it"
delivery_not_received,"@AmazonHelp AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.","@116914 I understand your frustration! Our team would like a chance to address this concern. At your convenience, include your details here: https://t.co/hKZOmv3DMU ^SJ","Customer: @115821 the more I order from you guys, the more I'm going to stop being a customer....YOUR DRIVERS ARE USELESS. Once again they marked a package delivered when it clearly wasn't. I received one of two packages, yet they were both marked delivered. 3 times in 1 month! https://t.co/9UYVHPVWtE
AmazonHelp: @116914 I'm so sorry to hear your order was scanned as delivered when it wasn't. We'd like to help if we can. Just to confirm, who's the carrier shown on your order here: https://t.co/wBHsNpkyQZ? ^CC
Customer: @AmazonHelp AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller."
delivery_not_received,@AmazonHelp And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. https://t.co/69tW0B5r9H,@116914 I'm truly sorry for the inconvenience! We don't have access to your account via Twitter. We'd like to help if we can. Please connect with us here so we can assist you: https://t.co/hApLpMlfHN ^MO,"Customer: @AmazonHelp AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.
AmazonHelp: @116914 I understand your frustration! Our team would like a chance to address this concern. At your convenience, include your details here: https://t.co/hKZOmv3DMU ^SJ
Customer: @AmazonHelp And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. https://t.co/69tW0B5r9H"
delivery_not_received,"@115821 the more I order from you guys, the more I'm going to stop being a customer....YOUR DRIVERS ARE USELESS. Once again they marked a package delivered when it clearly wasn't. I received one of two packages, yet they were both marked delivered. 3 times in 1 month! https://t.co/9UYVHPVWtE","@116914 I'm so sorry to hear your order was scanned as delivered when it wasn't. We'd like to help if we can. Just to confirm, who's the carrier shown on your order here: https://t.co/wBHsNpkyQZ? ^CC","Customer: @115821 the more I order from you guys, the more I'm going to stop being a customer....YOUR DRIVERS ARE USELESS. Once again they marked a package delivered when it clearly wasn't. I received one of two packages, yet they were both marked delivered. 3 times in 1 month! https://t.co/9UYVHPVWtE"
delivery_not_received,"@AmazonHelp Order date 06-Oct-2017 Order # 406-8895581-1413106 Order total 3,719.00 (delete it again)","@117789 Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. (2/2) ^GK","Customer: @AmazonHelp Incredible! I shouldn’t post my details here Coz it’s public. While you can’t access it being in Amazon! Are you kidding me ?
AmazonHelp: @117789 We haven't received your details. Kindly share your details here: https://t.co/JzRdscmdH9 and I'll get in touch soon. ^AK
Customer: @AmazonHelp Order date 06-Oct-2017 Order # 406-8895581-1413106 Order total 3,719.00 (delete it again)"
delivery_not_received,"@AmazonHelp Order date 06-Oct-2017 Order # 406-8895581-1413106 Order total 3,719.00 (delete it again)",@117789 We've received your details and we'll reach out to you soon. (1/2) ^GK,"Customer: @AmazonHelp Incredible! I shouldn’t post my details here Coz it’s public. While you can’t access it being in Amazon! Are you kidding me ?
AmazonHelp: @117789 We haven't received your details. Kindly share your details here: https://t.co/JzRdscmdH9 and I'll get in touch soon. ^AK
Customer: @AmazonHelp Order date 06-Oct-2017 Order # 406-8895581-1413106 Order total 3,719.00 (delete it again)"
order_status,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,"Customer: PLAYERUNKNOWN'S BATTLEGROUNDS is now available for preorder on Xbox One consoles - https://t.co/bqLHcBDqAb https://t.co/muLIqeHq0o
Customer: @115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away"
order_status,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,Customer: .@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk
order_status,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,"Customer: .@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk
AmazonHelp: @115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY
Customer: @AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?"
order_status,"@AmazonHelp My package just got here. All good, thank you!","@116087 Thank you for keeping us posted, Rachael! ^BA","Customer: I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away.
AmazonHelp: @116087 I'm sorry for the long wait; what is your current order status showing when you review it: https://t.co/Y5jpI9gRhE? ^WM
Customer: @AmazonHelp My package just got here. All good, thank you!"
order_status,@AmazonHelp Where is my order? https://t.co/pXnKSCo2ex,"@116319 I'm sorry it hasn't arrived! Please reach us here: https://t.co/e6dQwzp386, so we can look into available options. ^SJ",Customer: @AmazonHelp Where is my order? https://t.co/pXnKSCo2ex
order_status,"@AmazonHelp The tracking indicated as here, and then, it seemed to go back in time, saying it was not here anymore. I believe it's USPS",@117948 Please get in touch with us here: https://t.co/Q7Ftz6nj80 and we'd be happy to review available options with you. ^EZ,"Customer: @AmazonHelp I have an order that was supposed to be here on the 25th which has not arrived yet.
AmazonHelp: @117948 What does the current tracking indicate? Also, who does the tracking indicate as carrier?: https://t.co/PyACxvY8Qo ^VB
Customer: @AmazonHelp The tracking indicated as here, and then, it seemed to go back in time, saying it was not here anymore. I believe it's USPS"
order_status,"@AmazonHelp I called customer serv, they called usps and the usps rep blamed your routing. The second the usps rep was off the phone Amazon blamed usps","@118079 When you were on the phone with us, did we mention a date as to when we could provide more options? ^TN","Customer: @AmazonHelp The carrier doesn't sell free 2 day shipping as part of a membership. Amazon does.
AmazonHelp: @118079 We'd still like to help. What does the tracking show in Your Orders: https://t.co/PCtircFm5C? Who is the carrier here? ^SJ
Customer: @AmazonHelp I called customer serv, they called usps and the usps rep blamed your routing. The second the usps rep was off the phone Amazon blamed usps"
order_status,@AmazonHelp it's been 7 days &amp; my @115821 order still hasn't shipped. #fail https://t.co/apV29xdWuM,@118084 I'm sorry that your package has not shipped! Did we miss the promised Delivery date found here: https://t.co/Y5jpI9gRhE ^LM,Customer: @AmazonHelp it's been 7 days &amp; my @115821 order still hasn't shipped. #fail https://t.co/apV29xdWuM
order_status,"@AmazonHelp Carrier: AMZL US, Tracking #: TBA516106123000","@118235 I'd like someone from my team to check into this. When you can, please drop your details here: https://t.co/jNvrqbIPwn ^BL","Customer: @AmazonHelp Not in the mailbox, not on the porch, not in my house, not at the neighbors. This was a Prime order, late/lost again.
AmazonHelp: @118235 I'm sorry those steps didn't help! Who was the carrier for this order? You can check here: https://t.co/Y5jpI9gRhE ^BL
Customer: @AmazonHelp Carrier: AMZL US, Tracking #: TBA516106123000"
order_status,"@117634 I ordered the Oasis, my order status showed it was to be delivered today and it did not come. Very disappointed.","@118925 Oh no, Kathleen! We want to help. Is there an updated delivery date showing here: https://t.co/Y5jpI9gRhE ^LA","Customer: @117634 I ordered the Oasis, my order status showed it was to be delivered today and it did not come. Very disappointed."
order_change_cancel,@AmazonHelp I already chatted with help and am still not convinced i'll get the right item because clearly the warehouse workers can't read.,@117793 Please keep us posted if a replacement was provided. We want to ensure you receive the correct phone case. ^EZ,"Customer: Ordered cases for our new iPhone X and @115821 sent me iPhone 8 cases for BOTH ones. NOT THE SAME PHONE! #pissed
AmazonHelp: @117793 I'm sorry you didn't receive the correct items! I recommend trying the steps here for wrong items: https://t.co/3B6iUhjS3U ^SJ
Customer: @AmazonHelp I already chatted with help and am still not convinced i'll get the right item because clearly the warehouse workers can't read."
order_change_cancel,@115821 @115850 @AmazonHelp delivery boy was too arrogant when I asked him to deliver my order next day he cancelled my order#annoyed,"@120913 Apologies for the unpleasant experience, have you reported this to our support here: https://t.co/vlvfJr4nN9? ^AH",Customer: @115821 @115850 @AmazonHelp delivery boy was too arrogant when I asked him to deliver my order next day he cancelled my order#annoyed
order_change_cancel,@AmazonHelp I have done this earlier I didn't get any help now again you people did the same thing __email__ contact me on mail,"@121399 We'll get this fixed for you, please fill this form: https://t.co/beaaDm0muc and we'll get back to you right away. ^SI","Customer: @115850 I have ordered one black and grey backpack of Polestar and I received complete pink backpack which I never ordered
AmazonHelp: @121399 I'm sorry you received a wrong item. Please contact us via https://t.co/TxK11znixD and we'll look into this for you. ^AR
Customer: @AmazonHelp I have done this earlier I didn't get any help now again you people did the same thing __email__ contact me on mail"
order_change_cancel,@115850 Amazon Delivery Boy denied my Delivery and Cancelled my Order without calling me. have previously ordered using same Address.. Worst Service,@122607 We'd like to have a look into this. Kindly report it here: https://t.co/2t6DQoUmNZ and our team will assist further. ^AB,"Customer: No tricks! Just treats. For a fulfilling shopping experience, visit Amazon today. https://t.co/kTtcZSyN59
Customer: @115850 Amazon Delivery Boy denied my Delivery and Cancelled my Order without calling me. have previously ordered using same Address.. Worst Service"
order_change_cancel,"Trying to cancel an order on @115821 but the website and app page come up blank when I hit ""cancel order"" @AmazonHelp","@125405 Oh no! We can help you with this, Annie! Just give us a quick call or chat here so we can assist: https://t.co/hApLpMlfHN ^JD","Customer: Trying to cancel an order on @115821 but the website and app page come up blank when I hit ""cancel order"" @AmazonHelp"
order_change_cancel,"@AmazonHelp that awkward moment you’ve recently moved 🏠 and you get your delivery sent to the wrong address (correct street, wrong number)",@127913 If the address is outdated the parcel will usually be returned to us by the carrier. See more here https://t.co/5y0YxfgfSX ^TG,"Customer: @AmazonHelp that awkward moment you’ve recently moved 🏠 and you get your delivery sent to the wrong address (correct street, wrong number)"
order_change_cancel,"@115821 Sounds like it's been delivered to the wrong address... No building on my block has a ""Mail Room""","@128891 At times, a package can be mis-scanned. In most cases packages arrive within 24 hours. If not, please contact us back. ^AF","Customer: When @115821 says they left a package in your ""mail room"" but you don't have a mail room or a package outside... WTF then say wait 24hrs?
Customer: @115821 Sounds like it's been delivered to the wrong address... No building on my block has a ""Mail Room"""
order_change_cancel,"@AmazonHelp 1/2 Safe to say won't be delivered this evening How long do I have to wait? If I have to reorder which seems highly likely, Friday delivery",@128891 I'm sorry for this delay. We'd like to have someone look into this w/ you. Please contact us here: https://t.co/hApLpMlfHN ^HS,"Customer: @115821 Sounds like it's been delivered to the wrong address... No building on my block has a ""Mail Room""
AmazonHelp: @128891 At times, a package can be mis-scanned. In most cases packages arrive within 24 hours. If not, please contact us back. ^AF
Customer: @AmazonHelp 1/2 Safe to say won't be delivered this evening How long do I have to wait? If I have to reorder which seems highly likely, Friday delivery"
order_change_cancel,So mad at @115821 they sent the wrong item. I got tattoo ink instead of cross stitch supplies!!! I need it today &amp;now I have to wait week,@130481 I'm very sorry for the mix-up! Please let us know if there are any further issues or if assistance is needed with the return. ^KL,Customer: So mad at @115821 they sent the wrong item. I got tattoo ink instead of cross stitch supplies!!! I need it today &amp;now I have to wait week
order_change_cancel,"@AmazonHelp This is ridiculous, I’ve literally just shown what the tracking is showing and your asking again, can you not look through the thread of tweets? Something needs to be done ASAP otherwise I’ll just cancel my order",@130736 Our team would like to look into this further with you directly to see what we can get done to help repair the situation. Can you please provide your information here so that we can reach out? https://t.co/t56ZRZdwU0 ^GS,"Customer: @AmazonHelp No they said they can’t speak to them only send an email, I have wrote on the delivery instructions to call me but haven’t heard anything, your courier has lied about delivering the item and lied that they attempted delivery yesterday. Can I contact him/her directly?
AmazonHelp: @130736 I do not believe that direct contact is available. What is the tracking showing currently? https://t.co/Y5jpI9gRhE ^DJ
Customer: @AmazonHelp This is ridiculous, I’ve literally just shown what the tracking is showing and your asking again, can you not look through the thread of tweets? Something needs to be done ASAP otherwise I’ll just cancel my order"
