candidate_intent,current_customer_message,historical_brand_response,conversation_context,escalation_signals
customer_service_escalation,@AmazonHelp Is there a human working there or robots cant u see i have replied twice guyzzz pls call on 8424869098 #poorcustomerservice #fraud #complain,"@119701 I'm afraid we haven't received your write-back to us, Aadil. Please respond to our latest correspondence (1/2)","Customer: @AmazonHelp Now with #fraud u guyz have started #lying as well not even a single call has come from your team #poorcustomerservice #fraud https://t.co/JDr9VTOeGa
AmazonHelp: @119701 Sorry about that Aadil. Please respond to this email and we'll check this for you. ^HN
Customer: @AmazonHelp Is there a human working there or robots cant u see i have replied twice guyzzz pls call on 8424869098 #poorcustomerservice #fraud #complain",explicit_support_request
refund_return,@AmazonHelp Most #pethetic service right look at the time i am waiting since 2 days and guess wat I am a #primemember #badservice #refund https://t.co/KKsr3XCfjz,"@119701 I'd like to take a closer look into this, please share your details here: https://t.co/GIJyeYqKE0. ^AG","Customer: @AmazonHelp The moment I tweeted you guyz i got a call from ur agent stating that he will pickup the product tomorrow really bad service #complain
AmazonHelp: @119701 Sorry for the delay. I'll be sure to pass on your feedback. Kindly wait until the mentioned time frame. Do keep us posted. ^AK
Customer: @AmazonHelp Most #pethetic service right look at the time i am waiting since 2 days and guess wat I am a #primemember #badservice #refund https://t.co/KKsr3XCfjz",explicit_support_request
refund_return,@AmazonHelp The moment I tweeted you guyz i got a call from ur agent stating that he will pickup the product tomorrow really bad service #complain,@119701 Sorry for the delay. I'll be sure to pass on your feedback. Kindly wait until the mentioned time frame. Do keep us posted. ^AK,"Customer: @115821 @115850 @AmazonHelp req a replace for one of my purchase it was scheduled for today between 10 to 1 its 3 no one has come #help
AmazonHelp: @119701 Apologies for the delay. Have you reported this to our support team here: https://t.co/vlvfJr4nN9? ^RB
Customer: @AmazonHelp The moment I tweeted you guyz i got a call from ur agent stating that he will pickup the product tomorrow really bad service #complain",explicit_support_request
customer_service_escalation,@AmazonHelp No updates even after 2 weeks....poor n shame on Amazon...#JeffBezos https://t.co/L7ZGVDnJA9,@119703 Apologies. Request you to reply to our email correspondence for further assistance and we'll look into this. ^MK,"Customer: @AmazonHelp I already replied on mails..no more mails...I have seen the way Amazon handled the situation...call me &amp; clear can it done or not
AmazonHelp: @119703 sent by our team and request for a phone call. Once you do so, our team will get back to you through phone soon. 2/2 ^RS
Customer: @AmazonHelp No updates even after 2 weeks....poor n shame on Amazon...#JeffBezos https://t.co/L7ZGVDnJA9",explicit_support_request
account_access,@AmazonHelp I already replied on mails..no more mails...I have seen the way Amazon handled the situation...call me &amp; clear can it done or not,"@119703 sent by our team and request for a phone call. Once you do so, our team will get back to you through phone soon. 2/2 ^RS","Customer: @AmazonHelp Many mails done...need clarification on what I asked...why 500 deposited as compensation..why no action against seller &amp; brand
AmazonHelp: @119703 further assistance as we wouldn't have the access to your account from here. Appreciate your understanding. 2/2 ^NK
Customer: @AmazonHelp I already replied on mails..no more mails...I have seen the way Amazon handled the situation...call me &amp; clear can it done or not",explicit_support_request
other,@AmazonHelp Stop asking non sense. it's been mid of the day providing hell of details but no response yet. Not even Surya Flames responded #JeffBezos,@119703 email correspondence from our team. Kindly check the same and revert. 2/2 ^MM,"Customer: @AmazonHelp U people not even understanding the situation...there was fire on stove n if cylinder got fired what worst could happened...
AmazonHelp: @119703 I'm sure our team would reach out to you soon. (2/2) ^VM
Customer: @AmazonHelp Stop asking non sense. it's been mid of the day providing hell of details but no response yet. Not even Surya Flames responded #JeffBezos",high_frustration
other,@AmazonHelp U people not even understanding the situation...there was fire on stove n if cylinder got fired what worst could happened...,@119703 I'm sure our team would reach out to you soon. (2/2) ^VM,"Customer: @AmazonHelp Order id-407-2808023-6902735 Mails already done
AmazonHelp: @119703 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.^SF
Customer: @AmazonHelp U people not even understanding the situation...there was fire on stove n if cylinder got fired what worst could happened...",high_frustration
delivery_not_received,"'Hey @AmazonHelp i haven't received my ""delivered"" order.' 'Did you check around your house' lmao https://t.co/w6FRcwmoFX",@119790 I'm sorry you didn't receive your order. Did our customer service agent provide a solution for you? ^SE,"Customer: 'Hey @AmazonHelp i haven't received my ""delivered"" order.' 'Did you check around your house' lmao https://t.co/w6FRcwmoFX",missing_delivery
delivery_not_received,@AmazonHelp Kindly note i will not received or accept my last order. I have choosen COD but due bad service of Prime i will not accept,@119791 provide your details here: https://t.co/beaaDm0muc &amp; we'll get this sorted.(2/2)^SF,"Customer: @AmazonHelp I dont need to contact u now, it is as mistake take that i paid for Prime.
AmazonHelp: @119791 out to our team using the link shared earlier. (2/2) ^GK
Customer: @AmazonHelp Kindly note i will not received or accept my last order. I have choosen COD but due bad service of Prime i will not accept",missing_delivery
delivery_not_received,@AmazonHelp Kindly note i will not received or accept my last order. I have choosen COD but due bad service of Prime i will not accept,@119791 I'm sorry for the unpleasant experience. We'd like to change it. Please (1/2)^SF,"Customer: @AmazonHelp I dont need to contact u now, it is as mistake take that i paid for Prime.
AmazonHelp: @119791 out to our team using the link shared earlier. (2/2) ^GK
Customer: @AmazonHelp Kindly note i will not received or accept my last order. I have choosen COD but due bad service of Prime i will not accept",missing_delivery
delivery_not_received,@AmazonHelp I dont want to change my order but will not accept. Order # 403-3917499-2913904,@119791 to you. Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. 2/2 ^SH,"Customer: @AmazonHelp Kindly note i will not received or accept my last order. I have choosen COD but due bad service of Prime i will not accept
AmazonHelp: @119791 I'm sorry for the unpleasant experience. We'd like to change it. Please (1/2)^SF
Customer: @AmazonHelp I dont want to change my order but will not accept. Order # 403-3917499-2913904",missing_delivery
delivery_not_received,@AmazonHelp I dont want to change my order but will not accept. Order # 403-3917499-2913904,"@119791 We'd like to assist you with the issue, kindly provide your details through the link provided above and we'll get back 1/2 ^SH","Customer: @AmazonHelp Kindly note i will not received or accept my last order. I have choosen COD but due bad service of Prime i will not accept
AmazonHelp: @119791 I'm sorry for the unpleasant experience. We'd like to change it. Please (1/2)^SF
Customer: @AmazonHelp I dont want to change my order but will not accept. Order # 403-3917499-2913904",missing_delivery
account_access,@AmazonHelp None of your links are taking me to a solution. Been after this since 3 days. Most pathetic service ever. You guys shall call me ASAP! (1/2),@119793 Please add an email address to your account and then continue to fill the form. Appreciate your patience. ^RW,"Customer: @AmazonHelp This form also has a tab which asks for the email address associated with my Amazon account but there is NONE. How do I fill in that? Urghh
AmazonHelp: @119793 select 'More order issues' &gt; choose from chat/phone/email we'll be glad to help. (3/3) ^KA
Customer: @AmazonHelp None of your links are taking me to a solution. Been after this since 3 days. Most pathetic service ever. You guys shall call me ASAP! (1/2)",explicit_support_request
account_access,"@AmazonHelp This is very irritating. When I request a call, each time on the call it says, you don't have any order. For more info visit website. Poor!",@119793 I apologize for this. Request you to share the details using this link: https://t.co/cQVomR1pWz and we'll look into it. ^SK,"Customer: @AmazonHelp I am unable to drop you a mail through this link as there's no email id associated with this account, it's a mobile account. Facing trouble.
AmazonHelp: @119793 Please log into your account using your mobile number and request a call back from us. We'll reach out to you and help. ^HK
Customer: @AmazonHelp This is very irritating. When I request a call, each time on the call it says, you don't have any order. For more info visit website. Poor!",explicit_support_request
account_access,"@AmazonHelp I am unable to drop you a mail through this link as there's no email id associated with this account, it's a mobile account. Facing trouble.",@119793 Please log into your account using your mobile number and request a call back from us. We'll reach out to you and help. ^HK,"Customer: @115850 I wish to close my account with you as I have another Amazon account operational now. Please get back to me on how to close it.
AmazonHelp: @119793 Please write to us from here: https://t.co/TxK11znixD from the account you desire to close and our team will assist. ^HR
Customer: @AmazonHelp I am unable to drop you a mail through this link as there's no email id associated with this account, it's a mobile account. Facing trouble.",account_action_required
account_access,@115850 I wish to close my account with you as I have another Amazon account operational now. Please get back to me on how to close it.,@119793 Please write to us from here: https://t.co/TxK11znixD from the account you desire to close and our team will assist. ^HR,Customer: @115850 I wish to close my account with you as I have another Amazon account operational now. Please get back to me on how to close it.,account_action_required
refund_return,@AmazonHelp wht explanation would you like 2 gv now as mor order got cancelled n products r returned back after waiting 4 mor thn two weeks?,@119798 I'm sorry about that. Could you confirm sharing your details in the link shared earlier? ^GK,"Customer: @AmazonHelp whts benefit? chatted wth 1 of ur executive. aprt fr4 Sorry n Apology he has nothing 2 offer. if u cn do something better thn reply or leave
AmazonHelp: @119798 I get you're upset. However, we'd like to get this sorted out, please share the details and we'll reach out to you. ^MS
Customer: @AmazonHelp wht explanation would you like 2 gv now as mor order got cancelled n products r returned back after waiting 4 mor thn two weeks?",explicit_support_request
customer_service_escalation,@AmazonHelp whts benefit? chatted wth 1 of ur executive. aprt fr4 Sorry n Apology he has nothing 2 offer. if u cn do something better thn reply or leave,"@119798 I get you're upset. However, we'd like to get this sorted out, please share the details and we'll reach out to you. ^MS","Customer: @AmazonHelp apologies only dnt work. why last tim i was gvn assurance tht i wont repeat and now it happened again, whts your excuse now?
AmazonHelp: @119798 I’m sorry for the hassle. Please drop in your details here: https://t.co/GIJyeYqKE0 We will look into it. ^SB
Customer: @AmazonHelp whts benefit? chatted wth 1 of ur executive. aprt fr4 Sorry n Apology he has nothing 2 offer. if u cn do something better thn reply or leave",explicit_support_request
product_device_issue,Hey @115821 wth does this mean? How can the iOS app on the phone be offline? #AmazonEcho https://t.co/bsAmAY4b38,@119906 I'm sorry about the error you're seeing! Please try uninstalling and reinstalling the app. Let us know how it goes. ^JP,Customer: Hey @115821 wth does this mean? How can the iOS app on the phone be offline? #AmazonEcho https://t.co/bsAmAY4b38,explicit_support_request
customer_service_escalation,"@AmazonHelp Have already shared my registered mobile no. 9673101122, but I m currently contactable on 9818601122","@120032 Please don't provide your order details, we consider it to be personal info. Our page is visible to the public. 2/2^VH","Customer: @AmazonHelp What is the response. I am yet to get a call from customer care
AmazonHelp: @120032 Please respond to our email or request a call back through the same mail so we could reach out to you. ^JC
Customer: @AmazonHelp Have already shared my registered mobile no. 9673101122, but I m currently contactable on 9818601122",explicit_support_request
customer_service_escalation,"@AmazonHelp Have already shared my registered mobile no. 9673101122, but I m currently contactable on 9818601122",@120032 Please respond to our email or request a call back through the same mail so we could reach out to you. 1/2 ^VH,"Customer: @AmazonHelp What is the response. I am yet to get a call from customer care
AmazonHelp: @120032 Please respond to our email or request a call back through the same mail so we could reach out to you. ^JC
Customer: @AmazonHelp Have already shared my registered mobile no. 9673101122, but I m currently contactable on 9818601122",explicit_support_request
delivery_not_received,@AmazonHelp I gave it another day and still not delivered. 😡,"@120034 I'm so sorry for the trouble. If you have a moment, please contact us by phone or chat here: https://t.co/hApLpMlfHN. ^LH","Customer: @AmazonHelp No, is USPS even contactable, esp after hours? I'll wait and see what happens tomorrow. Two delivery mishaps this month - one UPS, one USPS
AmazonHelp: @120034 Unfortunately not. However, you can check the carrier website for more detailed tracking information. Please keep us posted. ^SY
Customer: @AmazonHelp I gave it another day and still not delivered. 😡",missing_delivery
delivery_not_received,"@AmazonHelp Called USPS for delivery info. Estimated hold time for the next representative is FIFTY MINUTES. As YOUR customer, I shouldn't be doing this",@120034 We're able to contact the carrier on your behalf using the link ^LH provided above. ^KP,"Customer: @AmazonHelp I gave it another day and still not delivered. 😡
AmazonHelp: @120034 I'm so sorry for the trouble. If you have a moment, please contact us by phone or chat here: https://t.co/hApLpMlfHN. ^LH
Customer: @AmazonHelp Called USPS for delivery info. Estimated hold time for the next representative is FIFTY MINUTES. As YOUR customer, I shouldn't be doing this","explicit_support_request, missing_delivery"
delivery_not_received,@115850 @AmazonHelp Does you app have a feedback option “product not delivered” ?,@120037 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,"Customer: @115850 i have received a message that product has been delivered whereas it hasn’t been delivered. Second time happened @AmazonHelp
Customer: @115850 @AmazonHelp Does you app have a feedback option “product not delivered” ?",missing_delivery
delivery_not_received,@AmazonHelp Your customer service has reverted saying that apparently the package has been delivered and signed by receipt my yesterday. Not true.,@120037 Sorry for the trouble with the delivery. Kindly drop in your details here: https://t.co/2nQ2CFxoWn and we'll work on it.^NS,"Customer: @115850 @AmazonHelp Does you app have a feedback option “product not delivered” ?
AmazonHelp: @120037 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN
Customer: @AmazonHelp Your customer service has reverted saying that apparently the package has been delivered and signed by receipt my yesterday. Not true.",missing_delivery
delivery_not_received,"@AmazonHelp @115850 @120040 Even after your team's promise, I have not received my cashback of INR1500 before deadline given by them.",@120039 Please reply to the email for further assistance on it. 2/2 ^RW,"Customer: @AmazonHelp They have promised me that my cashback of INR 1500 will be received by 5th November, hope this doesn't repeat in future. Thanks #AmazonIndia
AmazonHelp: @120039 I get your concern, Abhilash. Cash back shall be processed as per the timelines shared with you. Rest assured. ^SV
Customer: @AmazonHelp @115850 @120040 Even after your team's promise, I have not received my cashback of INR1500 before deadline given by them.",missing_delivery
delivery_not_received,"@AmazonHelp @115850 @120040 Even after your team's promise, I have not received my cashback of INR1500 before deadline given by them.","@120039 As you have filled the details, you will receive an email correspondence from our team here: https://t.co/WVqPFC8jLV ^RW 1/2","Customer: @AmazonHelp They have promised me that my cashback of INR 1500 will be received by 5th November, hope this doesn't repeat in future. Thanks #AmazonIndia
AmazonHelp: @120039 I get your concern, Abhilash. Cash back shall be processed as per the timelines shared with you. Rest assured. ^SV
Customer: @AmazonHelp @115850 @120040 Even after your team's promise, I have not received my cashback of INR1500 before deadline given by them.",missing_delivery
delivery_not_received,"@AmazonHelp @115850 @120040 Wow this is great, now again i am getting mail that max eligible cashback is INR450. What the heck is wrong with Amazon support. @115850",@120039 Kindly reply to the email that we've sent. We'll check this for you. ^SG,"AmazonHelp: @120039 I get your concern, Abhilash. Cash back shall be processed as per the timelines shared with you. Rest assured. ^SV
Customer: @AmazonHelp @115850 @120040 Even after your team's promise, I have not received my cashback of INR1500 before deadline given by them.
Customer: @AmazonHelp @115850 @120040 Wow this is great, now again i am getting mail that max eligible cashback is INR450. What the heck is wrong with Amazon support. @115850",missing_delivery
delivery_not_received,"@AmazonHelp @115850 @120040 I have mailed 3-4 times after that but i am still getting the same standard email, exact same mail",@120039 You can add your insight by writing back to the e-mail sent by our team. We'll reply to the same. ^MP 2/2,"Customer: @AmazonHelp @115850 @120040 Even after your team's promise, I have not received my cashback of INR1500 before deadline given by them.
Customer: @AmazonHelp @115850 @120040 Wow this is great, now again i am getting mail that max eligible cashback is INR450. What the heck is wrong with Amazon support. @115850
Customer: @AmazonHelp @115850 @120040 I have mailed 3-4 times after that but i am still getting the same standard email, exact same mail",missing_delivery
delivery_not_received,"@AmazonHelp @115850 @120040 I have mailed 3-4 times after that but i am still getting the same standard email, exact same mail",@120039 I'm sorry for this experience. The resolution provided by our team over email is the best we can offer at the moment. ^MP 1/2,"Customer: @AmazonHelp @115850 @120040 Even after your team's promise, I have not received my cashback of INR1500 before deadline given by them.
Customer: @AmazonHelp @115850 @120040 Wow this is great, now again i am getting mail that max eligible cashback is INR450. What the heck is wrong with Amazon support. @115850
Customer: @AmazonHelp @115850 @120040 I have mailed 3-4 times after that but i am still getting the same standard email, exact same mail",missing_delivery
customer_service_escalation,Hey @115850 what about the #iphone8appquiz ? https://t.co/LEvzv9QUS9,@120087 The result for the contest is out and here's the link: https://t.co/MGupOOYvHT ^AR,Customer: Hey @115850 what about the #iphone8appquiz ? https://t.co/LEvzv9QUS9,explicit_support_request
customer_service_escalation,@AmazonHelp Call me on 9873388201. I have already spent a good part of my day taking to ur useless customer service and chatting. Not going to fill.,@120092 Unless the form is filled we wouldn't be able to offer any further insight in this case. Thanks for understanding. 2/2 ^AB,"Customer: @AmazonHelp Hahaha. Reported multiple times...even spoke to ur so called customer service.. no help...
AmazonHelp: @120092 I get your disappointment. I’d like to help you; please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^SC
Customer: @AmazonHelp Call me on 9873388201. I have already spent a good part of my day taking to ur useless customer service and chatting. Not going to fill.","explicit_support_request, high_frustration"
customer_service_escalation,@AmazonHelp Call me on 9873388201. I have already spent a good part of my day taking to ur useless customer service and chatting. Not going to fill.,"@120092 For account security purposes you'd have to fill the form, for us to have a look into your issue and arrange a callback. 1/2 ^AB","Customer: @AmazonHelp Hahaha. Reported multiple times...even spoke to ur so called customer service.. no help...
AmazonHelp: @120092 I get your disappointment. I’d like to help you; please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^SC
Customer: @AmazonHelp Call me on 9873388201. I have already spent a good part of my day taking to ur useless customer service and chatting. Not going to fill.","explicit_support_request, high_frustration"
shipping_speed,@AmazonHelp I contacted customer support by chat&amp;was told to wait for 72 hrs while investigating.:/ This has happened to others for over a week though,"@120175 Have you heard back about the investigation, yet? Please let us know! ^LB","Customer: @AmazonHelp I am assuming it's by Amazon since I chose Amazon global priority shipping. https://t.co/C9vq5RkuuV this is the link to the product page.
AmazonHelp: @120175 Please reach out to us by phone here: https://t.co/hApLpMlfHN ^RR
Customer: @AmazonHelp I contacted customer support by chat&amp;was told to wait for 72 hrs while investigating.:/ This has happened to others for over a week though",explicit_support_request
delivery_delay,@AmazonHelp Yes.. we got after 1 week from estimated date and still waiting for installation,@120225 I'm sorry about the installation issues. Have you reported this to our team here: https://t.co/T6y6Xlutbs? ^VN,"Customer: @115850 .. worst kind of service giving to his customers.. I have a purchased a boss washing machine.. waiting so long ..🤔
AmazonHelp: @120225 we have missed on the estimated delivery date ? 2/2 ^SB
Customer: @AmazonHelp Yes.. we got after 1 week from estimated date and still waiting for installation",high_frustration
other,@115850 .. worst kind of service giving to his customers.. I have a purchased a boss washing machine.. waiting so long ..🤔,@120225 we have missed on the estimated delivery date ? 2/2 ^SB,Customer: @115850 .. worst kind of service giving to his customers.. I have a purchased a boss washing machine.. waiting so long ..🤔,high_frustration
delivery_not_received,Dear @115850 my order #407-7208892-2195534 is suppose to deliver by 31 Oct 2017... Still not received...,@120226 I’m sorry about the issue you’re facing with delivery. Let us look into it. (1/3)^HR,Customer: Dear @115850 my order #407-7208892-2195534 is suppose to deliver by 31 Oct 2017... Still not received...,missing_delivery
delivery_not_received,@AmazonHelp @115850 @AmazonHelp @115821 . In the last 5 working days u ppl not able to arrange pick up.I m waiting for return since 30 days.,@120227 Sorry about that! Could you kindly confirm if you have filled in the details with the link provided earlier? ^PB,"Customer: @AmazonHelp I did not get any kindly resend.
AmazonHelp: @120227 You should have received an email from us. In case, you haven't received the email,1/2^HN
Customer: @AmazonHelp @115850 @AmazonHelp @115821 . In the last 5 working days u ppl not able to arrange pick up.I m waiting for return since 30 days.",missing_delivery
delivery_not_received,Disappointed with order# 407-5957878-5349150 Ordered through prime ID and paid Rs. 50 extra on prime. Still haven't received it. @115850,@120228 Our Twitter page is visible to public. 3/3 ^SB,Customer: Disappointed with order# 407-5957878-5349150 Ordered through prime ID and paid Rs. 50 extra on prime. Still haven't received it. @115850,missing_delivery
delivery_not_received,Disappointed with order# 407-5957878-5349150 Ordered through prime ID and paid Rs. 50 extra on prime. Still haven't received it. @115850,@120228 Please don’t provide your order details as we consider them to be personal information. 2/3 ^SB,Customer: Disappointed with order# 407-5957878-5349150 Ordered through prime ID and paid Rs. 50 extra on prime. Still haven't received it. @115850,missing_delivery
delivery_not_received,Disappointed with order# 407-5957878-5349150 Ordered through prime ID and paid Rs. 50 extra on prime. Still haven't received it. @115850,@120228 We regret the inconvenience. Could you please let us know if we have missed on the estimated delivery date? 1/3 ^SB,Customer: Disappointed with order# 407-5957878-5349150 Ordered through prime ID and paid Rs. 50 extra on prime. Still haven't received it. @115850,missing_delivery
delivery_not_received,@AmazonHelp Yes you missed it completely and made a blunder. Call me on 9140560819 for more understanding,"@120228 Please don't provide your account details, as we consider it to be personal information. Our Twitter page is public.​ ^RW","Customer: Disappointed with order# 407-5957878-5349150 Ordered through prime ID and paid Rs. 50 extra on prime. Still haven't received it. @115850
AmazonHelp: @120228 We regret the inconvenience. Could you please let us know if we have missed on the estimated delivery date? 1/3 ^SB
Customer: @AmazonHelp Yes you missed it completely and made a blunder. Call me on 9140560819 for more understanding","explicit_support_request, missing_delivery"
delivery_not_received,@AmazonHelp Yes you missed it completely and made a blunder. Call me on 9140560819 for more understanding,@120228 I'm sorry for the delay in delivery. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you at the earliest ^RW,"Customer: Disappointed with order# 407-5957878-5349150 Ordered through prime ID and paid Rs. 50 extra on prime. Still haven't received it. @115850
AmazonHelp: @120228 We regret the inconvenience. Could you please let us know if we have missed on the estimated delivery date? 1/3 ^SB
Customer: @AmazonHelp Yes you missed it completely and made a blunder. Call me on 9140560819 for more understanding","explicit_support_request, missing_delivery"
customer_service_escalation,@AmazonHelp Done this. What about resolution ??,@120228 Thank you for providing the details. We're working on it &amp; we'll get back to you soon with an appropriate resolution. ^SY,"Customer: @AmazonHelp Yes you missed it completely and made a blunder. Call me on 9140560819 for more understanding
AmazonHelp: @120228 I'm sorry for the delay in delivery. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you at the earliest ^RW
Customer: @AmazonHelp Done this. What about resolution ??",explicit_support_request
account_access,"Can't change my new Email address with @115821 ! I'm repeatedly told: ""There was a problem with your Password"".... https://t.co/s4mcgxbdtP","@120230 Hey, did you try and change your password first? Do you have access to the email address associated with your account? ^AS","Customer: Can't change my new Email address with @115821 ! I'm repeatedly told: ""There was a problem with your Password"".... https://t.co/s4mcgxbdtP",account_action_required
other,@AmazonHelp Provided my details hope I will get a resolution,@120232 and reply for further assistance. 2/2 ^SB,"Customer: @AmazonHelp I have already tried that option so hopeing you could provide better option
AmazonHelp: @120232 Apologies for the ordeal Bhakti. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN
Customer: @AmazonHelp Provided my details hope I will get a resolution",failed_self_service
customer_service_escalation,@AmazonHelp I have already tried that option so hopeing you could provide better option,@120232 Apologies for the ordeal Bhakti. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN,"Customer: @AmazonHelp And secondly I would like to know if it was out of stock how I was able to place the order
AmazonHelp: @120232 Allow our support team to look into this. You can connect with us here: https://t.co/R3EfhzgU8B ^CB.
Customer: @AmazonHelp I have already tried that option so hopeing you could provide better option",failed_self_service
other,@AmazonHelp Provided my details hope I will get a resolution,@120232 We have sent a correspondence to your registered email id. Request you to check 1/2 ^SB,"Customer: @AmazonHelp I have already tried that option so hopeing you could provide better option
AmazonHelp: @120232 Apologies for the ordeal Bhakti. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN
Customer: @AmazonHelp Provided my details hope I will get a resolution",failed_self_service
delivery_not_received,Dear @115850 my order #407-7208892-2195534 is suppose to deliver by 31 Oct 2017... Still not received...,"@120226 Also, as this a social medial platform, please don't provide order details. We consider it personal information.(3/3)^HR",Customer: Dear @115850 my order #407-7208892-2195534 is suppose to deliver by 31 Oct 2017... Still not received...,missing_delivery
delivery_not_received,Dear @115850 my order #407-7208892-2195534 is suppose to deliver by 31 Oct 2017... Still not received...,@120226 Have you reported this to our support team here: https://t.co/2t6DQoUmNZ? (2/3)^HR,Customer: Dear @115850 my order #407-7208892-2195534 is suppose to deliver by 31 Oct 2017... Still not received...,missing_delivery
account_access,"Can't change my new Email address with @115821 ! I'm repeatedly told: ""There was a problem with your Password""","@120230 Hi, sorry to hear that you're having trouble logging in. Please contact us here:https://t.co/jzvkhdlrK5 to look into this.^JJ","Customer: Can't change my new Email address with @115821 ! I'm repeatedly told: ""There was a problem with your Password""",account_action_required
order_status,@AmazonHelp No use from your link or Amazon app support call or chat. Please see the order details.just telling us to wait.Not updating the status also. https://t.co/Uwp0eOu6Ia,"@120315 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^ZH","Customer: @115821 @115850 How can you keep the item status as delivered without reaching us, and telling us to wait for it?
AmazonHelp: @120315 I'm sorry for the incorrect tracking update. Kindly reach out to us here: https://t.co/vlvfJr4nN9 and we will fix this for you. ^AH
Customer: @AmazonHelp No use from your link or Amazon app support call or chat. Please see the order details.just telling us to wait.Not updating the status also. https://t.co/Uwp0eOu6Ia",explicit_support_request
order_status,@AmazonHelp No use from your link or Amazon app support call or chat. Please see the order details.just telling us to wait.Not updating the status also. https://t.co/Uwp0eOu6Ia,@120315 We apologize for the inconvenience. Please share your details here: https://t.co/GIJyeYqKE0 and I'll personally help you. (1/2) ^ZH,"Customer: @115821 @115850 How can you keep the item status as delivered without reaching us, and telling us to wait for it?
AmazonHelp: @120315 I'm sorry for the incorrect tracking update. Kindly reach out to us here: https://t.co/vlvfJr4nN9 and we will fix this for you. ^AH
Customer: @AmazonHelp No use from your link or Amazon app support call or chat. Please see the order details.just telling us to wait.Not updating the status also. https://t.co/Uwp0eOu6Ia",explicit_support_request
order_status,@AmazonHelp Anyway you are redirecting the above link to your customer support..What is the use of it?? Same reply from them...,"@120315 Filling in your details wouldn't lead you to our support team, Uday. Please do the same, we'll reach out to you personally. ^JC","AmazonHelp: @120315 I'm sorry for the incorrect tracking update. Kindly reach out to us here: https://t.co/vlvfJr4nN9 and we will fix this for you. ^AH
Customer: @AmazonHelp No use from your link or Amazon app support call or chat. Please see the order details.just telling us to wait.Not updating the status also. https://t.co/Uwp0eOu6Ia
Customer: @AmazonHelp Anyway you are redirecting the above link to your customer support..What is the use of it?? Same reply from them...",explicit_support_request
delivery_not_received,@AmazonHelp Daily same msg coming but do not delivered,@120316 we have missed on the estimated delivery date? 2/2 ^SB,"Customer: @AmazonHelp Arriving Today: Your package with Dell KM117 Wireless Keyboard Mouse is out for delivery.Amt: Rs.1,399. https://t.co/JuXkvDFU1Q
AmazonHelp: @120316 When the product is out for delivery, it will be delivered before 8 pm. Kindly wait until then. Do keep us posted. ^AK
Customer: @AmazonHelp Daily same msg coming but do not delivered",missing_delivery
delivery_not_received,@AmazonHelp Daily same msg coming but do not delivered,@120316 I'm sorry about the delay in delivering your order. Could you please let us know if 1/2 ^SB,"Customer: @AmazonHelp Arriving Today: Your package with Dell KM117 Wireless Keyboard Mouse is out for delivery.Amt: Rs.1,399. https://t.co/JuXkvDFU1Q
AmazonHelp: @120316 When the product is out for delivery, it will be delivered before 8 pm. Kindly wait until then. Do keep us posted. ^AK
Customer: @AmazonHelp Daily same msg coming but do not delivered",missing_delivery
delivery_not_received,@115850 order no. 408-9844239-0335528 bed side table is not delivered till now.,"@120402 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^ZH",Customer: @115850 order no. 408-9844239-0335528 bed side table is not delivered till now.,missing_delivery
delivery_not_received,@115850 order no. 408-9844239-0335528 bed side table is not delivered till now.,@120402 We apologize for the delay in the delivery of the order. Please contact us here: https://t.co/vlvfJr4nN9 and we'll help you ^ZH,Customer: @115850 order no. 408-9844239-0335528 bed side table is not delivered till now.,missing_delivery
customer_service_escalation,@AmazonHelp Please call back me...,@120469 on 'call me' option and a call shall be connected with our support team. 2/2 ^SH,"Customer: @AmazonHelp How many more long time I will wait for solution...?? I am not able to call contact with Amazon care
AmazonHelp: @120469 You may request an immediate call back from us here: https://t.co/vlvfJr4nN9. Do you see any error? ^HK
Customer: @AmazonHelp Please call back me...",explicit_support_request
customer_service_escalation,@AmazonHelp No option of call with customer care,"@120469 If you're unable to arrange a call back, kindly contact our support team using the chat/email option and we'll help you. ^ZH","Customer: @AmazonHelp Please call back me...
AmazonHelp: @120469 on 'call me' option and a call shall be connected with our support team. 2/2 ^SH
Customer: @AmazonHelp No option of call with customer care",explicit_support_request
